ts,stage,epoch,step,loss
"2026-07-02 17:16:24,918",1,16,420,0.8735
"2026-07-02 17:16:25,715",1,16,440,0.8719
"2026-07-02 17:16:27,298",1,17,20,0.8659
"2026-07-02 17:16:28,098",1,17,40,0.8444
"2026-07-02 17:16:28,923",1,17,60,0.8526
"2026-07-02 17:16:29,720",1,17,80,0.8626
"2026-07-02 17:16:30,530",1,17,100,0.8675
"2026-07-02 17:16:31,398",1,17,120,0.8713
"2026-07-02 17:16:32,271",1,17,140,0.8701
"2026-07-02 17:16:33,150",1,17,160,0.8721
"2026-07-02 17:16:34,017",1,17,180,0.8715
"2026-07-02 17:16:34,842",1,17,200,0.8683
"2026-07-02 17:16:35,640",1,17,220,0.8666
"2026-07-02 17:16:36,483",1,17,240,0.8682
"2026-07-02 17:16:37,363",1,17,260,0.8678
"2026-07-02 17:16:38,243",1,17,280,0.867
"2026-07-02 17:16:39,123",1,17,300,0.8686
"2026-07-02 17:16:40,001",1,17,320,0.8685
"2026-07-02 17:16:40,879",1,17,340,0.8688
"2026-07-02 17:16:41,759",1,17,360,0.868
"2026-07-02 17:16:42,638",1,17,380,0.8666
"2026-07-02 17:16:43,489",1,17,400,0.8669
"2026-07-02 17:16:44,310",1,17,420,0.8679
"2026-07-02 17:16:45,139",1,17,440,0.8682
"2026-07-02 17:16:46,751",1,18,20,0.8508
"2026-07-02 17:16:47,575",1,18,40,0.8739
"2026-07-02 17:16:48,452",1,18,60,0.8703
"2026-07-02 17:16:49,255",1,18,80,0.873
"2026-07-02 17:16:50,054",1,18,100,0.8737
"2026-07-02 17:16:50,853",1,18,120,0.8733
"2026-07-02 17:16:51,653",1,18,140,0.8709
"2026-07-02 17:16:52,454",1,18,160,0.8702
"2026-07-02 17:16:53,255",1,18,180,0.8702
"2026-07-02 17:16:54,055",1,18,200,0.8672
"2026-07-02 17:16:54,851",1,18,220,0.8702
"2026-07-02 17:16:55,649",1,18,240,0.8729
"2026-07-02 17:16:56,450",1,18,260,0.8742
"2026-07-02 17:16:57,213",1,18,280,0.8719
"2026-07-02 17:16:57,933",1,18,300,0.8701
"2026-07-02 17:16:58,654",1,18,320,0.8685
"2026-07-02 17:16:59,398",1,18,340,0.8668
"2026-07-02 17:17:00,198",1,18,360,0.8672
"2026-07-02 17:17:00,996",1,18,380,0.8673
"2026-07-02 17:17:01,798",1,18,400,0.8679
"2026-07-02 17:17:02,594",1,18,420,0.8668
"2026-07-02 17:17:03,392",1,18,440,0.8661
"2026-07-02 17:17:04,959",1,19,20,0.9036
"2026-07-02 17:17:05,679",1,19,40,0.8802
"2026-07-02 17:17:06,398",1,19,60,0.8828
"2026-07-02 17:17:07,120",1,19,80,0.8779
"2026-07-02 17:17:07,909",1,19,100,0.8733
"2026-07-02 17:17:08,706",1,19,120,0.8666
"2026-07-02 17:17:09,542",1,19,140,0.867
"2026-07-02 17:17:10,400",1,19,160,0.8713
"2026-07-02 17:17:11,281",1,19,180,0.8721
"2026-07-02 17:17:12,161",1,19,200,0.8692
"2026-07-02 17:17:13,038",1,19,220,0.8687
"2026-07-02 17:17:13,918",1,19,240,0.8688
"2026-07-02 17:17:14,795",1,19,260,0.868
"2026-07-02 17:17:15,668",1,19,280,0.8665
"2026-07-02 17:17:16,546",1,19,300,0.8685
"2026-07-02 17:17:17,400",1,19,320,0.8662
"2026-07-02 17:17:18,269",1,19,340,0.865
"2026-07-02 17:17:19,141",1,19,360,0.8656
"2026-07-02 17:17:20,021",1,19,380,0.8659
"2026-07-02 17:17:20,901",1,19,400,0.8652
"2026-07-02 17:17:21,784",1,19,420,0.8632
"2026-07-02 17:17:22,665",1,19,440,0.8637
"2026-07-02 17:17:24,292",1,20,20,0.8862
"2026-07-02 17:17:25,082",1,20,40,0.8869
"2026-07-02 17:17:25,940",1,20,60,0.859
"2026-07-02 17:17:26,817",1,20,80,0.8513
"2026-07-02 17:17:27,546",1,20,100,0.8591
"2026-07-02 17:17:28,271",1,20,120,0.8585
"2026-07-02 17:17:29,054",1,20,140,0.8615
"2026-07-02 17:17:29,851",1,20,160,0.8605
"2026-07-02 17:17:30,648",1,20,180,0.8561
"2026-07-02 17:17:31,486",1,20,200,0.8608
"2026-07-02 17:17:32,367",1,20,220,0.8585
"2026-07-02 17:17:33,247",1,20,240,0.8593
"2026-07-02 17:17:34,128",1,20,260,0.8605
"2026-07-02 17:17:34,963",1,20,280,0.8556
"2026-07-02 17:17:35,761",1,20,300,0.8558
"2026-07-02 17:17:36,558",1,20,320,0.8567
"2026-07-02 17:17:37,432",1,20,340,0.8602
"2026-07-02 17:17:38,312",1,20,360,0.864
"2026-07-02 17:17:39,192",1,20,380,0.8635
"2026-07-02 17:17:40,072",1,20,400,0.8636
"2026-07-02 17:17:40,952",1,20,420,0.864
"2026-07-02 17:17:41,832",1,20,440,0.8624
"2026-07-02 17:18:01,206",2,1,20,1.7819
"2026-07-02 17:18:19,491",2,1,40,1.6899
"2026-07-02 17:18:37,752",2,1,60,1.653
"2026-07-02 17:18:56,003",2,1,80,1.6282
"2026-07-02 17:19:14,258",2,1,100,1.6164
"2026-07-02 17:19:32,558",2,1,120,1.6209
"2026-07-02 17:19:50,927",2,1,140,1.617
"2026-07-02 17:20:09,345",2,1,160,1.6157
"2026-07-02 17:20:27,783",2,1,180,1.6089
"2026-07-02 17:20:46,238",2,1,200,1.6145
"2026-07-02 17:21:04,553",2,1,220,1.6167
"2026-07-02 17:21:22,850",2,1,240,1.6209
"2026-07-02 17:21:41,302",2,1,260,1.6244
"2026-07-02 17:21:59,763",2,1,280,1.6254
"2026-07-02 17:22:18,090",2,1,300,1.6295
"2026-07-02 17:22:36,555",2,1,320,1.6296
"2026-07-02 17:22:54,967",2,1,340,1.6275
"2026-07-02 17:23:13,449",2,1,360,1.6251
"2026-07-02 17:23:32,027",2,1,380,1.6234
"2026-07-02 17:23:50,603",2,1,400,1.6241
"2026-07-02 17:24:09,098",2,1,420,1.6154
"2026-07-02 17:24:27,516",2,1,440,1.615
"2026-07-02 17:24:45,972",2,1,460,1.6164
"2026-07-02 17:25:04,424",2,1,480,1.6174
"2026-07-02 17:25:22,986",2,1,500,1.6171
"2026-07-02 17:25:41,505",2,1,520,1.6164
"2026-07-02 17:26:00,153",2,1,540,1.6131
"2026-07-02 17:26:18,687",2,1,560,1.6078
"2026-07-02 17:26:37,264",2,1,580,1.605
"2026-07-02 17:26:55,859",2,1,600,1.6049
"2026-07-02 17:27:14,355",2,1,620,1.602
"2026-07-02 17:27:32,862",2,1,640,1.5951
"2026-07-02 17:27:51,315",2,1,660,1.5943
"2026-07-02 17:28:09,831",2,1,680,1.594
"2026-07-02 17:28:28,374",2,1,700,1.5924
"2026-07-02 17:28:46,858",2,1,720,1.5915
"2026-07-02 17:29:05,372",2,1,740,1.5898
"2026-07-02 17:29:23,869",2,1,760,1.5893
"2026-07-02 17:29:42,357",2,1,780,1.5893
"2026-07-02 17:30:00,857",2,1,800,1.5875
"2026-07-02 17:30:19,344",2,1,820,1.5848
"2026-07-02 17:30:37,844",2,1,840,1.5843
"2026-07-02 17:30:56,601",2,1,860,1.5854
"2026-07-02 17:31:15,077",2,1,880,1.5843
"2026-07-02 17:33:24,794",2,2,20,1.6596
"2026-07-02 17:33:43,071",2,2,40,1.6544
"2026-07-02 17:34:01,474",2,2,60,1.6212
"2026-07-02 17:34:19,747",2,2,80,1.6283
"2026-07-02 17:34:38,007",2,2,100,1.6295
"2026-07-02 17:34:56,265",2,2,120,1.6269
"2026-07-02 17:35:14,538",2,2,140,1.6318
"2026-07-02 17:35:32,803",2,2,160,1.6266
"2026-07-02 17:35:51,079",2,2,180,1.6237
"2026-07-02 17:36:09,337",2,2,200,1.6164
"2026-07-02 17:36:27,608",2,2,220,1.6219
"2026-07-02 17:36:45,867",2,2,240,1.6238
"2026-07-02 17:37:04,121",2,2,260,1.6187
"2026-07-02 17:37:22,381",2,2,280,1.6218
"2026-07-02 17:37:40,647",2,2,300,1.6198
"2026-07-02 17:37:58,883",2,2,320,1.6237
"2026-07-02 17:38:17,339",2,2,340,1.6233
"2026-07-02 17:38:35,610",2,2,360,1.6229
"2026-07-02 17:38:53,872",2,2,380,1.6257
"2026-07-02 17:39:12,313",2,2,400,1.6248
"2026-07-02 17:39:30,572",2,2,420,1.6227
"2026-07-02 17:39:48,848",2,2,440,1.6257
"2026-07-02 17:40:07,107",2,2,460,1.6244
"2026-07-02 17:40:25,365",2,2,480,1.6275
"2026-07-02 17:40:43,750",2,2,500,1.6232
"2026-07-02 17:41:02,018",2,2,520,1.623
"2026-07-02 17:41:20,279",2,2,540,1.6236
"2026-07-02 17:41:38,596",2,2,560,1.6246
"2026-07-02 17:41:56,864",2,2,580,1.6211
"2026-07-02 17:42:15,133",2,2,600,1.6184
"2026-07-02 17:42:33,425",2,2,620,1.6188
"2026-07-02 17:42:51,682",2,2,640,1.621
"2026-07-02 17:43:10,032",2,2,660,1.6198
"2026-07-02 17:43:28,558",2,2,680,1.6184
